"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Publisher","Date published","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Copyright","Affiliation","Language","Sub-type","Source"
"Journal Article","Nishino T,Rago F,Hori T,Tomii K,Cheeseman IM,Fukagawa T","CENP-T provides a structural platform for outer kinetochore assembly","EMBO J.","The EMBO journal","2013","32","3","424-436","Wiley","2013-02-06","0261-4189","1460-2075","http://dx.doi.org/10.1038/emboj.2012.348;https://www.ncbi.nlm.nih.gov/pubmed/23334297;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3567495","10.1038/emboj.2012.348","23334297","PMC3567495","The kinetochore forms a dynamic interface with microtubules from the mitotic spindle during mitosis. The Ndc80 complex acts as the key microtubule-binding complex at kinetochores. However, it is unclear how the Ndc80 complex associates with the inner kinetochore proteins that assemble upon centromeric chromatin. Here, based on a high-resolution structural analysis, we demonstrate that the N-terminal region of vertebrate CENP-T interacts with the 'RWD' domain in the Spc24/25 portion of the Ndc80 complex. Phosphorylation of CENP-T strengthens a cryptic hydrophobic interaction between CENP-T and Spc25 resulting in a phospho-regulated interaction that occurs without direct recognition of the phosphorylated residue. The Ndc80 complex interacts with both CENP-T and the Mis12 complex, but we find that these interactions are mutually exclusive, supporting a model in which two distinct pathways target the Ndc80 complex to kinetochores. Our results provide a model for how the multiple protein complexes at kinetochores associate in a phospho-regulated manner.","","","Department of Molecular Genetics, National Institute of Genetics and The Graduate University for Advanced Studies SOKENDAI, Shizuoka 411-8540, Japan.","en","Research Article",""
"Journal Article","He ZH,Cheeseman I,He D,Kohorn BD","A cluster of five cell wall-associated receptor kinase genes, Wak1-5, are expressed in specific organs of Arabidopsis","Plant Mol. Biol.","Plant molecular biology","1999","39","6","1189-1196","","1999-04","0167-4412","1573-5028","http://dx.doi.org/10.1023/a:1006197318246;https://www.ncbi.nlm.nih.gov/pubmed/10380805","10.1023/a:1006197318246","10380805","","WAK1 (wall-associated kinase 1) is a cytoplasmic serine/threonine kinase that spans the plasma membrane and extends into the extracellular region to bind tightly to the cell wall. The Wak1 gene was mapped and found to lie in a tight cluster of five highly similar genes (Wak1-5) within a 30 kb region. All of the Wak genes encode a cytoplasmic serine/threonine protein kinase, a transmembrane domain, and an extracytoplasmic region with several epidermal growth factor (EGF) repeats. The extracellular regions also contain limited amino acid identities to the tenascin superfamily, collagen, or the neurexins. RNA blot analysis with gene-specific probes revealed that Wak1, Wak3 and Wak5 are expressed primarily in leaves and stems of Arabidopsis. Wak4 mRNA is only detected in siliques, while Wak2 mRNA is found in high levels in leaves and stems, and in lower levels in flowers and siliques. A trace amount of Wak2 can also be detected in roots. Wak1 is induced by pathogen infection and salicylic acid or its analogue INA and is involved in the plant's response, and Wak2, Wak3 and Wak5 also can be greatly induced by salicylic acid or INA. The WAK proteins have the potential to serve as both linkers of the cell wall to the plasma membrane and as signaling molecules, and since Wak expression is organ-specific and the isoforms vary significantly in the cell wall associated domain this family of proteins may be involved in cell wall-plasma membrane interactions that direct fundamental processes in angiosperms.","","","Botany Department, Duke University, Durham, NC 27708, USA.","en","Research Article",""
"Commentary","Cheeseman IM,Desai A","Cell division: feeling tense enough?","Nature","Nature","2004","428","6978","32-33","Springer Science and Business Media LLC","2004-03-04","0028-0836","1476-4687","http://dx.doi.org/10.1038/428032b;https://www.ncbi.nlm.nih.gov/pubmed/14999271","10.1038/428032b","14999271","","","","","","en","Commentary",""
"Journal Article","Okada M,Cheeseman IM,Hori T,Okawa K,McLeod IX,Yates 3rd JR,Desai A,Fukagawa T","The CENP-H-I complex is required for the efficient incorporation of newly synthesized CENP-A into centromeres","Nat. Cell Biol.","Nature cell biology","2006","8","5","446-457","Springer Science and Business Media LLC","2006-05","1465-7392","1476-4679","http://dx.doi.org/10.1038/ncb1396;https://www.ncbi.nlm.nih.gov/pubmed/16622420","10.1038/ncb1396","16622420","","In vertebrates, centromeres lack defined sequences and are thought to be propagated by epigenetic mechanisms involving the incorporation of specialized nucleosomes containing the histone H3 variant centromere protein (CENP)-A. However, the precise mechanisms that target CENP-A to centromeres remain poorly understood. Here, we isolated a multi-subunit complex, which includes the established inner kinetochore components CENP-H and CENP-I, and nine other proteins, from both human and chicken cells. Our analysis of these proteins demonstrates that the CENP-H-I complex can be divided into three functional sub-complexes, each of which is required for faithful chromosome segregation. Interestingly, newly expressed CENP-A is not efficiently incorporated into centromeres in knockout mutants of a subclass of CENP-H-I complex proteins, indicating that the CENP-H-I complex may function, in part, as a marker directing CENP-A deposition to centromeres.","","","Department of Molecular Genetics, National Institute of Genetics and The Graduate University for Advanced Studies, Mishima, Shizuoka 411-8540, Japan.","en","Research Article",""
"Journal Article","Gassmann R,Essex A,Hu JS,Maddox PS,Motegi F,Sugimoto A,O'Rourke SM,Bowerman B,McLeod I,Yates 3rd JR,Oegema K,Cheeseman IM,Desai A","A new mechanism controlling kinetochore-microtubule interactions revealed by comparison of two dynein-targeting components: SPDL-1 and the Rod/Zwilch/Zw10 complex","Genes Dev.","Genes & development","2008","22","17","2385-2399","Cold Spring Harbor Laboratory","2008-09-01","0890-9369","1549-5477","http://dx.doi.org/10.1101/gad.1687508;https://www.ncbi.nlm.nih.gov/pubmed/18765790;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2532926","10.1101/gad.1687508","18765790","PMC2532926","Chromosome segregation requires stable bipolar attachments of spindle microtubules to kinetochores. The dynein/dynactin motor complex localizes transiently to kinetochores and is implicated in chromosome segregation, but its role remains poorly understood. Here, we use the Caenorhabditis elegans embryo to investigate the function of kinetochore dynein by analyzing the Rod/Zwilch/Zw10 (RZZ) complex and the associated coiled-coil protein SPDL-1. Both components are essential for Mad2 targeting to kinetochores and spindle checkpoint activation. RZZ complex inhibition, which abolishes both SPDL-1 and dynein/dynactin targeting to kinetochores, slows but does not prevent the formation of load-bearing kinetochore-microtubule attachments and reduces the fidelity of chromosome segregation. Surprisingly, inhibition of SPDL-1, which abolishes dynein/dynactin targeting to kinetochores without perturbing RZZ complex localization, prevents the formation of load-bearing attachments during most of prometaphase and results in extensive chromosome missegregation. Coinhibition of SPDL-1 along with the RZZ complex reduces the phenotypic severity to that observed following RZZ complex inhibition alone. We propose that the RZZ complex can inhibit the formation of load-bearing attachments and that this activity of the RZZ complex is normally controlled by dynein/dynactin localized via SPDL-1. This mechanism could coordinate the hand-off from initial weak dynein-mediated lateral attachments, which help orient kinetochores and enhance their ability to capture microtubules, to strong end-coupled attachments that drive chromosome segregation.","","","Ludwig Institute for Cancer Research/Dept of Cellular and Molecular Medicine, University of California at San Diego, La Jolla, California 92093, USA.","en","Research Article",""
"Journal Article","Cheeseman IM,Desai A","A combined approach for the localization and tandem affinity purification of protein complexes from metazoans","Sci. STKE","Science's STKE: signal transduction knowledge environment","2005","2005","266","l1","American Association for the Advancement of Science (AAAS)","2005-01-11","1525-8882","","http://dx.doi.org/10.1126/stke.2662005pl1;https://www.ncbi.nlm.nih.gov/pubmed/15644491","10.1126/stke.2662005pl1","15644491","","An understanding of a protein's function is greatly aided by the knowledge of its localization in vivo and identification of any interacting partners. Here, we describe a method, based on expression of a genetically encoded fusion protein, that allows for protein localization and affinity purification (LAP) in metazoans. This method makes it possible to rapidly identify transformants and to conduct live imaging of protein localization and dynamics. In addition, the same tag can be used in a modified tandem affinity purification (TAP) procedure to isolate native protein complexes of high purity. The efficacy of this purification procedure allows for the characterization of rare protein complexes that are largely inaccessible to classical biochemical purifications. The LAP strategy should be widely applicable to the characterization of protein function in cellular and developmental contexts in various metazoans.","","","Ludwig Institute for Cancer Research, La Jolla, CA 92093, USA. icheeseman@ucsd.edu <icheeseman@ucsd.edu>","en","Research Article",""
"Journal Article","Shang C,Hazbun TR,Cheeseman IM,Aranda J,Fields S,Drubin DG,Barnes G","Kinetochore protein interactions and their regulation by the Aurora kinase Ipl1p","Mol. Biol. Cell","Molecular biology of the cell","2003","14","8","3342-3355","","2003-08","1059-1524","1939-4586","http://dx.doi.org/10.1091/mbc.E02-11-0765;https://www.ncbi.nlm.nih.gov/pubmed/12925767;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC181571","10.1091/mbc.E02-11-0765","12925767","PMC181571","Although there has been a recent explosion in the identification of budding yeast kinetochore components, the physical interactions that underlie kinetochore function remain obscure. To better understand how kinetochores attach to microtubules and how this attachment is regulated, we sought to characterize the interactions among kinetochore proteins, especially with respect to the microtubule-binding Dam1 complex. The Dam1 complex plays a crucial role in the chromosome-spindle attachment and is a key target for phospho-regulation of this attachment by the Aurora kinase Ipl1p. To identify protein-protein interactions involving the Dam1 complex, and the effects of Dam1p phosphorylation state on these physical interactions, we conducted both a genome-wide two-hybrid screen and a series of biochemical binding assays for Dam1p. A two-hybrid screen of a library of 6000 yeast open reading frames identified nine kinetochore proteins as Dam1p-interacting partners. From 113 in vitro binding reactions involving all nine subunits of the Dam1 complex and 32 kinetochore proteins, we found at least nine interactions within the Dam1 complex and 19 potential partners for the Dam1 complex. Strikingly, we found that the Dam1p-Ndc80p and Dam1p-Spc34p interactions were weakened by mutations mimicking phosphorylation at Ipl1p sites, allowing us to formulate a model for the effects of phosphoregulation on kinetochore function.","","","Department of Molecular and Cell Biology, University of California, Berkeley, California 94720-3202, USA.","en","Research Article",""
"Journal Article","De Wulf P,Cheeseman IM","Tension at EMBO's Aneuploidy Workshop","EMBO Rep.","EMBO reports","2010","11","10","727-729","EMBO","2010-10","1469-221X","1469-3178","http://dx.doi.org/10.1038/embor.2010.146;https://www.ncbi.nlm.nih.gov/pubmed/20865017;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2948196","10.1038/embor.2010.146","20865017","PMC2948196","The EMBO 2010 Workshop on Chromosome Segregation and Aneuploidy, held between 19 and 23 June at Edinburgh University's Royal College of Surgeons, highlighted basic mitotic mechanisms, chromosome-based defects linked to human diseases and the processes that connect them.","","http://onlinelibrary.wiley.com/termsAndConditions#vor","Department of Experimental Oncology, European Institute of Oncology, Milan, Italy. peter.dewulf@ifom-ieo-campus.it","en","Research Article",""
"Journal Article","Maia AR,Garcia Z,Kabeche L,Barisic M,Maffini S,Macedo-Ribeiro S,Cheeseman IM,Compton DA,Kaverina I,Maiato H","Cdk1 and Plk1 mediate a CLASP2 phospho-switch that stabilizes kinetochore-microtubule attachments","J. Cell Biol.","The journal of cell biology","2012","199","2","285-301","Rockefeller University Press","2012-10-15","0021-9525","1540-8140","http://dx.doi.org/10.1083/jcb.201203091;https://www.ncbi.nlm.nih.gov/pubmed/23045552;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3471233","10.1083/jcb.201203091","23045552","PMC3471233","Accurate chromosome segregation during mitosis relies on a dynamic kinetochore (KT)-microtubule (MT) interface that switches from a labile to a stable condition in response to correct MT attachments. This transition is essential to satisfy the spindle-assembly checkpoint (SAC) and couple MT-generated force with chromosome movements, but the underlying regulatory mechanism remains unclear. In this study, we show that during mitosis the MT- and KT-associated protein CLASP2 is progressively and distinctively phosphorylated by Cdk1 and Plk1 kinases, concomitant with the establishment of KT-MT attachments. CLASP2 S1234 was phosphorylated by Cdk1, which primed CLASP2 for association with Plk1. Plk1 recruitment to KTs was enhanced by CLASP2 phosphorylation on S1234. This was specifically required to stabilize KT-MT attachments important for chromosome alignment and to coordinate KT and non-KT MT dynamics necessary to maintain spindle bipolarity. CLASP2 C-terminal phosphorylation by Plk1 was also required for chromosome alignment and timely satisfaction of the SAC. We propose that Cdk1 and Plk1 mediate a fine CLASP2 ""phospho-switch"" that temporally regulates KT-MT attachment stability.","","","Instituto de Biologia Molecular e Celular, Universidade do Porto, Porto, Portugal.","en","Research Article",""
"Journal Article","Gascoigne KE,Takeuchi K,Suzuki A,Hori T,Fukagawa T,Cheeseman IM","Induced ectopic kinetochore assembly bypasses the requirement for CENP-A nucleosomes","Cell","Cell","2011","145","3","410-422","Elsevier BV","2011-04-29","0092-8674","1097-4172","http://dx.doi.org/10.1016/j.cell.2011.03.031;https://www.ncbi.nlm.nih.gov/pubmed/21529714;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3085131","10.1016/j.cell.2011.03.031","21529714","PMC3085131","Accurate chromosome segregation requires assembly of the multiprotein kinetochore complex at centromeres. Although prior work identified the centromeric histone H3-variant CENP-A as the important upstream factor necessary for centromere specification, in human cells CENP-A is not sufficient for kinetochore assembly. Here, we demonstrate that two constitutive DNA-binding kinetochore components, CENP-C and CENP-T, function to direct kinetochore formation. Replacing the DNA-binding regions of CENP-C and CENP-T with alternate chromosome-targeting domains recruits these proteins to ectopic loci, resulting in CENP-A-independent kinetochore assembly. These ectopic kinetochore-like foci are functional based on the stoichiometric assembly of multiple kinetochore components, including the microtubule-binding KMN network, the presence of microtubule attachments, the microtubule-sensitive recruitment of the spindle checkpoint protein Mad2, and the segregation behavior of foci-containing chromosomes. We additionally find that CENP-T phosphorylation regulates the mitotic assembly of both endogenous and ectopic kinetochores. Thus, CENP-C and CENP-T form a critical regulated platform for vertebrate kinetochore assembly.","","http://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute for Biomedical Research, Department of Biology, Nine Cambridge Center, MA 02142, USA.","en","Research Article",""
"Journal Article","Thiru P,Kern DM,McKinley KL,Monda JK,Rago F,Su KC,Tsinman T,Yarar D,Bell GW,Cheeseman IM","Kinetochore genes are coordinately up-regulated in human tumors as part of a FoxM1-related cell division program","Mol. Biol. Cell","Molecular biology of the cell","2014","25","13","1983-1994","American Society for Cell Biology (ASCB)","2014-07-01","1059-1524","1939-4586","http://dx.doi.org/10.1091/mbc.E14-03-0837;https://www.ncbi.nlm.nih.gov/pubmed/24829384;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4072572","10.1091/mbc.E14-03-0837","24829384","PMC4072572","The key player in directing proper chromosome segregation is the macromolecular kinetochore complex, which mediates DNA-microtubule interactions. Previous studies testing individual kinetochore genes documented examples of their overexpression in tumors relative to normal tissue, leading to proposals that up-regulation of specific kinetochore genes may promote tumor progression. However, kinetochore components do not function in isolation, and previous studies did not comprehensively compare the expression behavior of kinetochore components. Here we analyze the expression behavior of the full range of human kinetochore components in diverse published expression compendia, including normal tissues and tumor samples. Our results demonstrate that kinetochore genes are rarely overexpressed individually. Instead, we find that core kinetochore genes are coordinately regulated with other cell division genes under virtually all conditions. This expression pattern is strongly correlated with the expression of the forkhead transcription factor FoxM1, which binds to the majority of cell division promoters. These observations suggest that kinetochore gene up-regulation in cancer reflects a general activation of the cell division program and that altered expression of individual kinetochore genes is unlikely to play a causal role in tumorigenesis.","","","Whitehead Institute for Biomedical Research, Cambridge, MA 02142.; Whitehead Institute for Biomedical Research, Cambridge, MA 02142Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02139.; Merrimack Pharmaceuticals, Cambridge, MA 02139.; Whitehead Institute for Biomedical Research, Cambridge, MA 02142Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02139 icheese@wi.mit.edu.","en","Research Article",""
"Journal Article","Monnier N,Barry Z,Park HY,Su KC,Katz Z,English BP,Dey A,Pan K,Cheeseman IM,Singer RH,Bathe M","Inferring transient particle transport dynamics in live cells","Nat. Methods","Nature methods","2015","12","9","838-840","Springer Science and Business Media LLC","2015-09","1548-7091","1548-7105","http://dx.doi.org/10.1038/nmeth.3483;https://www.ncbi.nlm.nih.gov/pubmed/26192083;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4733533","10.1038/nmeth.3483","26192083","PMC4733533","Live-cell imaging and particle tracking provide rich information on mechanisms of intracellular transport. However, trajectory analysis procedures to infer complex transport dynamics involving stochastic switching between active transport and diffusive motion are lacking. We applied Bayesian model selection to hidden Markov modeling to infer transient transport states from trajectories of mRNA-protein complexes in live mouse hippocampal neurons and metaphase kinetochores in dividing human cells. The software is available at http://hmm-bayes.org/.","","","Department of Biological Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts, USA.; Department of Anatomy and Structural Biology, Albert Einstein College of Medicine, Bronx, New York, USA.; Gruss-Lipper Biophotonics Center, Albert Einstein College of Medicine, Bronx, New York, USA.; Howard Hughes Medical Institute, Janelia Research Campus, Ashburn, Virginia, USA.; Whitehead Institute for Biomedical Research, Cambridge, Massachusetts, USA.; Department of Biology, Massachusetts Institute of Technology, Cambridge, Massachusetts, USA.; Department of Anatomy and Structural Biology, Albert Einstein College of Medicine, Bronx, New York, USA.; Howard Hughes Medical Institute, Janelia Research Campus, Ashburn, Virginia, USA.","en","Research Article",""
"Journal Article","McKinley KL,Sekulic N,Guo LY,Tsinman T,Black BE,Cheeseman IM","The CENP-L-N complex forms a critical node in an integrated meshwork of interactions at the centromere-kinetochore interface","Mol. Cell","Molecular cell","2015","60","6","886-898","Elsevier BV","2015-12-17","1097-2765","1097-4164","http://dx.doi.org/10.1016/j.molcel.2015.10.027;https://www.ncbi.nlm.nih.gov/pubmed/26698661;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4690846","10.1016/j.molcel.2015.10.027","26698661","PMC4690846","During mitosis, the macromolecular kinetochore complex assembles on the centromere to orchestrate chromosome segregation. The properties and architecture of the 16-subunit Constitutive Centromere-Associated Network (CCAN) that allow it to build a robust platform for kinetochore assembly are poorly understood. Here, we use inducible CRISPR knockouts and biochemical reconstitutions to define the interactions between the human CCAN proteins. We find that the CCAN does not assemble as a linear hierarchy, and instead, each sub-complex requires multiple non-redundant interactions for its localization to centromeres and the structural integrity of the overall assembly. We demonstrate that the CENP-L-N complex plays a crucial role at the core of this assembly through interactions with CENP-C and CENP-H-I-K-M. Finally, we show that the CCAN is remodeled over the cell cycle such that sub-complexes depend on their interactions differentially. Thus, an interdependent meshwork within the CCAN underlies the centromere specificity and stability of the kinetochore.","CENP-A; CenH3; centromere; kinetochore; mitosis","https://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute for Biomedical Research, Nine Cambridge Center, Cambridge, MA 02142, USA; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA.; Department of Biochemistry and Biophysics, Perelman School of Medicine, University of Pennsylvania, 422 Curie Boulevard, Philadelphia, PA 19104, USA.; Whitehead Institute for Biomedical Research, Nine Cambridge Center, Cambridge, MA 02142, USA.; Whitehead Institute for Biomedical Research, Nine Cambridge Center, Cambridge, MA 02142, USA; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA. Electronic address: icheese@wi.mit.edu.","en","Research Article",""
"Journal Article","Su KC,Barry Z,Schweizer N,Maiato H,Bathe M,Cheeseman IM","A regulatory switch alters chromosome motions at the metaphase-to-anaphase transition","Cell Rep.","Cell reports","2016","17","7","1728-1738","","2016-11-08","2211-1247","","http://dx.doi.org/10.1016/j.celrep.2016.10.046;https://www.ncbi.nlm.nih.gov/pubmed/27829144;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5130098","10.1016/j.celrep.2016.10.046","27829144","PMC5130098","To achieve chromosome segregation during mitosis, sister chromatids must undergo a dramatic change in their behavior to switch from balanced oscillations at the metaphase plate to directed poleward motion during anaphase. However, the factors that alter chromosome behavior at the metaphase-to-anaphase transition remain incompletely understood. Here, we perform time-lapse imaging to analyze anaphase chromosome dynamics in human cells. Using multiple directed biochemical, genetic, and physical perturbations, our results demonstrate that differences in the global phosphorylation states between metaphase and anaphase are the major determinant of chromosome motion dynamics. Indeed, causing a mitotic phosphorylation state to persist into anaphase produces dramatic metaphase-like oscillations. These induced oscillations depend on both kinetochore-derived and polar ejection forces that oppose poleward motion. Thus, our analysis of anaphase chromosome motion reveals that dephosphorylation of multiple mitotic substrates is required to suppress metaphase chromosome oscillatory motions and achieve directed poleward motion for successful chromosome segregation.","chromokinesin; kinetochore; microtubule; mitosis; phosphorylation","","Whitehead Institute for Biomedical Research, Nine Cambridge Center, Cambridge, MA 02142, USA.; Department of Biological Engineering, Massachusetts Institute of Technology, Cambridge, MA 02139, USA.; Chromosome Instability and Dynamics Laboratory, Instituto de Biologia Molecular e Celular, Universidade do Porto, 4200-135 Porto, Portugal; i3S - Instituto de Investigação e Inovação em Saúdem, Universidade do Porto, 4200-135 Porto, Portugal.; Chromosome Instability and Dynamics Laboratory, Instituto de Biologia Molecular e Celular, Universidade do Porto, 4200-135 Porto, Portugal; i3S - Instituto de Investigação e Inovação em Saúdem, Universidade do Porto, 4200-135 Porto, Portugal; Cell Division Unit, Department of Experimental Biology, Faculdade de Medicina, Universidade do Porto, 4200-135 Porto, Portugal.; Whitehead Institute for Biomedical Research, Nine Cambridge Center, Cambridge, MA 02142, USA; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA. Electronic address: icheese@wi.mit.edu.","en","Research Article",""
"Journal Article","McKinley KL,Cheeseman IM","Large-scale analysis of CRISPR/Cas9 cell-cycle knockouts reveals the diversity of p53-dependent responses to cell-cycle defects","Dev. Cell","Developmental cell","2017","40","4","405-420.e2","","2017-02-27","1534-5807","1878-1551","http://dx.doi.org/10.1016/j.devcel.2017.01.012;https://www.ncbi.nlm.nih.gov/pubmed/28216383;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5345124","10.1016/j.devcel.2017.01.012","28216383","PMC5345124","Defining the genes that are essential for cellular proliferation is critical for understanding organismal development and identifying high-value targets for disease therapies. However, the requirements for cell-cycle progression in human cells remain incompletely understood. To elucidate the consequences of acute and chronic elimination of cell-cycle proteins, we generated and characterized inducible CRISPR/Cas9 knockout human cell lines targeting 209 genes involved in diverse cell-cycle processes. We performed single-cell microscopic analyses to systematically establish the effects of the knockouts on subcellular architecture. To define variations in cell-cycle requirements between cultured cell lines, we generated knockouts across cell lines of diverse origins. We demonstrate that p53 modulates the phenotype of specific cell-cycle defects through distinct mechanisms, depending on the defect. This work provides a resource to broadly facilitate robust and long-term depletion of cell-cycle proteins and reveals insights into the requirements for cell-cycle progression.","CRISPR/Cas9; DNA replication; centromere; kinetochore; microtubule; mitosis; multipolarity; p53; spindle","","Whitehead Institute for Biomedical Research, Nine Cambridge Center, Cambridge, MA 02142, USA; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA. Electronic address: kara.l.mckinley@gmail.com.; Whitehead Institute for Biomedical Research, Nine Cambridge Center, Cambridge, MA 02142, USA; Department of Biology, Massachusetts Institute of Technology, Cambridge, MA 02142, USA. Electronic address: icheese@wi.mit.edu.","en","Research Article",""
